area_code,year,life_expectancy,imd_score,imd_decile,physiological_score,behavioural_score
E08000008,2018,78.505,31.374,2,88.9,91.8
E08000009,2015,81.76903,16.088,8,103,102.8
E08000009,2016,82.00529,16.088,8,101.7,102.2
E08000009,2017,82.10499999999999,16.088,8,103.9,105.9
E08000009,2018,82,16.088,8,103.5,102.1
E08000010,2015,79.33899,25.713,4,92.2,89.8
E08000010,2016,79.54297,25.713,4,91.7,90.7
E08000010,2017,79.59,25.713,4,84.4,90.1
E08000010,2018,79.36,25.713,4,86.5,87.5
E08000011,2015,78.601565,43.006,1,89.2,82.2
E08000011,2016,78.496215,43.006,1,88.3,85.2
E08000011,2017,78.65,43.006,1,81.2,84.5
E08000011,2018,78.015,43.006,1,84.5,81.9
E08000012,2015,78.17312999999999,42.412,1,99.9,80.5
E08000012,2016,78.17289,42.412,1,99.4,85.6
E08000012,2017,78.475,42.412,1,101.8,88.5
E08000012,2018,77.99000000000001,42.412,1,100.2,85.8
E08000013,2015,79.22555,31.518,2,81.3,84.7
E08000013,2016,79.36015,31.518,2,80.2,87.6
E08000013,2017,79.5,31.518,2,80.4,86.9
E08000013,2018,79.24,31.518,2,78.2,84.1
E08000014,2015,80.56036499999999,27.035,4,89.2,90
E08000014,2016,80.66746499999999,27.035,4,88,93.8
E08000014,2017,80.91499999999999,27.035,4,93,93.3
E08000014,2018,80.20500000000001,27.035,4,82.1,89.1
E08000015,2015,80.013445,29.589,3,98.4,85.1
E08000015,2016,80.11277000000001,29.589,3,96.9,86.4
E08000015,2017,80.38,29.589,3,93.1,92.9
E08000015,2018,79.71,29.589,3,93.5,88.1
E08000016,2015,80.02586,29.933,3,86.2,87
E08000016,2016,80.004265,29.933,3,85.9,90.4
E08000016,2017,79.8,29.933,3,82.9,89.1
E08000016,2018,79.12,29.933,3,86.5,86.4
E08000017,2015,79.76138499999999,30.289,2,82.4,87.1
E08000017,2016,79.817895,30.289,2,82.2,87.9
E08000017,2017,80.00999999999999,30.289,2,83.8,92.7
E08000017,2018,79.42,30.289,2,82.9,88.2
E08000018,2015,79.71294,29.55,3,86.2,95
