area_name,area_code,low_income_children,ltc_employment_gap,ltc_working,sickness_absence,homelessness,fuel_poverty,loneliness,low_birth_weight,child_injury_admissions,self_harm_admissions,inactive_adults,suicide_rate,imd_score,imd_decile
Salford,E08000006,26.78119540062841,13.780859850715933,58.4199262445038,1.4686246024037928,22.667202073399434,15.46538035295995,27.3554330755842,2.9555063401261967,154.1749728640704,354.9348872295812,26.019716145116917,11.646754576468524,34.21,1
Sandwell,E08000028,28.99184179955619,13.743721862199033,55.2391394611628,1.2543183253373615,9.390415965899976,20.854341425664202,26.3419315932288,4.042832972623184,113.4569935391668,207.21086454470233,31.084253391105268,10.066704576030904,34.884,1
Scarborough,E07000168,19.696848222773127,14.121062430896387,55.649172305746845,1.1683810282372684,14.709795688822634,17.729158442395303,17.9159986145644,2.6791710668053614,113.45345122205649,230.1998360023254,23.536683874057132,16.451291204131017,26.28,3
Sedgemoor,E07000188,16.153447869985293,12.104938194085467,63.66887198388565,1.2685038247732272,13.142685335786,11.124823971201451,27.1357743871578,2.549328010963704,108.34789350238168,228.81364864999378,24.166478756753666,12.994871256864496,21.306,4
Sefton,E08000014,19.368745224515592,15.2297803554284,61.659546538380056,1.1203053002321142,5.827619518971747,13.812084761803,16.1672521738419,2.386742205219865,105.74766248556959,243.75950114355413,24.339322777227984,10.84561298141488,27.035,2
Selby,E07000169,11.127361831790836,14.160881075762395,63.42841943681975,1.1419108512701213,6.644304807680417,13.04158545203175,17.5966556911588,2.102053801520985,106.29656205022924,143.40720333038612,20.903572844621916,9.80983699413548,12.73,8
Sevenoaks,E07000111,11.668014607740027,13.62737937838996,66.7060125727117,1.5039056347055417,7.737560940473251,7.134971249151755,18.6094111070027,1.9911931826570943,95.62694837358424,156.97200537693155,18.5531272847302,10.545042341022917,12.437,8
Sheffield,E08000019,23.68410789850749,10.607319158083051,61.7173240962792,1.5280703072701636,13.029592645867167,18.15902140563845,24.0864829535792,3.062564311981192,79.1560962292243,150.27518006442708,22.4869903889036,9.110713922615238,27.06,2
Shropshire,E06000051,12.624152045567827,11.362814625140597,64.61574343961709,1.347058918585765,7.444219508189554,16.4879042327583,17.279527373242,2.2860453543236643,101.47400289125233,158.3487822979304,19.850304865383535,10.667702106248907,17.153,6
Slough,E06000039,21.049819771027963,10.897959148267073,61.565927968876196,1.157214014451467,18.363538238788,9.36862013086924,22.8655279338848,3.7771581481049674,95.69082619862567,157.75965958991256,32.93903590112322,12.20905058433608,22.965,4
Solihull,E08000029,15.300785384932972,11.118470923821224,69.537722513966,1.2277378153354586,10.07502385425306,12.50414615585385,18.3699632921764,2.701436251500205,96.18944737408151,181.40030832515592,24.066337685286783,8.802386980913875,17.37,6
South Cambridgeshire,E07000012,8.031973017906601,8.82692536659859,72.2999263503783,1.2520833729381422,6.792291690732097,10.0605787509466,19.196912613595,1.9058085760372037,65.13512035169467,219.2420468987273,16.678295561367435,10.511306210919379,8.496,10
South Derbyshire,E07000039,12.36744786926151,11.43640706941309,73.43063681677155,1.3121886568748735,6.605566456288726,11.709998733048199,21.130631324235,2.5843222343440075,87.44822903530292,186.59250633499678,20.15839449694895,10.550826085205962,14.494,7
South Gloucestershire,E06000025,10.802035909126827,7.87163198815993,73.3321458945172,1.2054859015037447,7.369164452329146,8.15990464595998,18.1971071408097,2.2788299753438945,89.7015488972449,212.0197649216425,19.103633528042867,7.529607093875277,11.66,9
South Hams,E07000044,11.865806288450518,6.431567667859006,71.38755901584545,1.1254362058493779,9.020860945602724,10.11667066406164,20.6388645372612,2.276296135612538,88.71727438958243,155.05239456884567,15.9772028005437,13.795376902923692,13.724,8
South Holland,E07000140,14.719529851282518,12.744915768476437,70.957536896291,0.9463410205915848,9.391984692439511,13.85174730548965,26.8731667941241,2.310487423685764,97.06221086733312,140.29101347142054,29.22511807486095,12.892023192197863,17.896,6
South Kesteven,E07000141,12.622087226976072,10.606120001117612,63.4731192368412,1.2707636466580312,10.060554617875264,12.20674817473205,22.0973247683034,1.9792248972946889,92.31747606253046,169.58698999279696,23.14208394593995,10.58939636899436,13.499,8
South Lakeland,E07000031,8.056091024093151,9.320133949405024,71.56648066918066,1.4532854605451162,9.580590641546749,11.9287238403601,18.7507240946052,2.2471044923967045,118.40786620802454,166.54460768609275,18.344105554731485,13.176851176255576,12.501,8
South Norfolk,E07000149,10.855133075278582,8.042704999283798,69.65088249990325,1.3998102455774515,3.7713639742437732,13.1296132027225,12.9782964210372,2.2263028475062625,100.09124747308363,142.81804861764374,17.667961504671933,11.686265643383539,13.318,8
South Oxfordshire,E07000179,7.871209693079571,10.355631486352397,72.64222151179001,1.4224498017785419,6.45958776524216,6.70950143170254,21.8901671669187,2.0811151683155398,90.33453618054384,168.7838560883105,16.938932018656967,11.702931466535127,8.459,10
South Ribble,E07000126,11.349361340779728,13.293325754384599,68.8279894210948,1.8839894180197743,11.980736871513633,10.64264797510255,22.3480376353463,2.449154501602699,125.49761546742104,174.37797684379763,22.729582410491933,14.021195853370411,15.33,7
South Somerset,E07000189,12.751790160966273,10.683042268257562,63.26255499618515,1.9672713471640948,7.35593675595293,11.15262753166025,16.8080896006164,2.326850352600216,125.68444542611493,290.6767477673197,19.649723712226617,11.457077978590236,17.347,6
South Staffordshire,E07000196,11.618045513105818,9.964533928525222,71.39031176417325,0.9658446022048108,1.83167182028529,12.51243554185755,19.3586337251981,2.2775679788942744,76.56517733287406,150.85510598674995,22.57561763562733,10.531887755089619,13.124,8
South Tyneside,E08000023,26.61993395815201,15.956666863275622,52.1189160326173,1.6952356050711428,20.7697706730838,14.60679138185005,25.3847080931839,2.779457730990138,160.58726704787466,240.57102932926043,27.702466430959216,9.790528805760495,31.509,1
Southampton,E06000045,24.091035442998145,9.59713028459641,70.36265459631335,1.2686775313807543,12.914093601752333,11.6308979750125,26.0045923359719,2.931134323298591,113.92613978280684,360.1562717664592,23.784861651079467,12.078964712266128,26.876,2
Southend-on-Sea,E06000033,21.547993264883893,13.259776820659098,67.31707061584979,1.2633370407542206,13.319714689976433,14.88752277484075,28.562872607085,2.418754499087607,77.55159499627263,174.9029598188289,24.2631830952293,11.994390703162495,22.375,4
Southwark,E09000028,30.403163596952364,14.593596321345744,62.5135123279886,0.8906899437573297,22.940731175263767,12.876154595904,23.4849233349507,2.987739765262356,87.64406868740063,95.6382177683958,20.195790981515817,10.226809373513852,25.811,3
